"","datetime","transaction_type","keterangan","merchant_type","status","count"
"1",2024-05-01,"0000","CIF Inquiry","igate6017","00",1140
"2",2024-05-01,"0001","Balance Inquiry","igate6017","00",1569
"3",2024-05-01,"0002","Saving Accounts Inquiry","igate6017","00",70409
"4",2024-05-01,"0003","Deposit Accounts Inquiry","igate6017","00",300
"5",2024-05-01,"0004","Loan Accounts Inquiry","igate6017","00",768
"6",2024-05-01,"0005","Account Statement Inquiry","igate6017","00",4513
"7",2024-05-01,"0006","Transfer Overbook Inquiry","igate6017","00",1816
"8",2024-05-01,"0007","Transfer Overbook Posting","igate6014","00",257
"9",2024-05-01,"0007","Transfer Overbook Posting","igate6017","00",1324
"10",2024-05-01,"0008","Transfer SKN Posting","igate6017","00",7
"11",2024-05-01,"0010","Telco Purchase","igate6017","00",668
"12",2024-05-01,"0011","PLN Purchase Inquiry","igate6017","00",357
"13",2024-05-01,"0012","PLN Purchase Posting","igate6017","00",318
"14",2024-05-01,"0013","PLN Payment Inquiry","igate6017","00",210
"15",2024-05-01,"0014","PLN Payment Posting","igate6017","00",82
"16",2024-05-01,"0017","Telco Postpaid Inquiry","igate6017","00",53
"17",2024-05-01,"0018","Telco Postpaid Posting","igate6017","00",26
"18",2024-05-01,"0021","Internet Payment Inquiry","igate6017","00",5
"19",2024-05-01,"0022","Internet Payment Posting","igate6017","00",1
"20",2024-05-01,"0023","TV Payment Inquiry","igate6017","00",4
"21",2024-05-01,"0024","TV Payment Posting","igate6017","00",2
"22",2024-05-01,"0029","Payment VA Inquiry","igate6017","00",30
"23",2024-05-01,"0030","Payment VA Posting","igate6017","00",12
"24",2024-05-01,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",30
"25",2024-05-01,"0040","Transfer to Other Bank Inquiry","igate6014","00",64
"26",2024-05-01,"0040","Transfer to Other Bank Inquiry","igate6017","00",6539
"27",2024-05-01,"0041","Transfer to Other Bank Posting","igate6014","00",61
"28",2024-05-01,"0041","Transfer to Other Bank Posting","igate6017","00",3919
"30",2024-05-01,"0115","Rate Exchange (Info Kurs)","igate6017","00",61
"31",2024-05-01,"0116","Mini Statement","igate6017","00",6861
"33",2024-05-01,"1012","Inquiry Topup DANA","igate6014","00",18643
"34",2024-05-01,"1013","Posting Topup DANA","igate6014","00",1472
"35",2024-05-01,"1027","Duplicate Check Compliance","igate6017","00",11
"36",2024-05-01,"1028","Create Compliance","igate6017","00",11
"37",2024-05-01,"1029","Create CIF","igate6017","00",11
"38",2024-05-01,"1030","Create Account","igate6017","00",13
"39",2024-05-01,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",2
"40",2024-05-01,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",44
"41",2024-05-01,"1132","KAI Purchase K2 Inquiry Fare","igate6017","00",2
"42",2024-05-01,"1139","Sepulsa Paket Data","igate6017","00",88
"43",2024-05-01,"1141","Rintis TopUp Ovo Inq","igate6017","00",992
"44",2024-05-01,"1142","Rintis TopUp Ovo Post","igate6017","00",454
"45",2024-05-01,"1143","Rintis TopUp Gopay Inq","igate6017","00",947
"46",2024-05-01,"1144","Rintis TopUp Gopay Post","igate6017","00",419
"47",2024-05-01,"1147","Rintis TopUp LinkAja Inq","igate6017","00",30
"48",2024-05-01,"1148","Rintis TopUp LinkAja Post","igate6017","00",13
"49",2024-05-01,"1151","XL Postpaid Inquiry","igate6017","00",10
"50",2024-05-01,"1152","XL Postpaid Posting","igate6017","00",5
"51",2024-05-01,"1155","Sepulsa Check Status","igate6017","00",2
"52",2024-05-01,"1156","Sepulsa PDAM Inquiry","igate6017","00",21
"53",2024-05-01,"1157","Sepulsa PDAM Posting","igate6017","00",21
"54",2024-05-01,"1158","Sepulsa PBB Inquiry","igate6017","00",1
